#Mass value    Hgg width   HZZ width   Htot width 
292   0.00487566   2.31775   7.59206
293   0.00494263   2.35052   7.694
294   0.0050106   2.38376   7.79663
295   0.0050797   2.4174   7.9
296   0.0051504   2.45085   8.00408
297   0.00522235   2.48461   8.10904
298   0.00529556   2.51871   8.21496
299   0.00537004   2.55317   8.32192
300   0.00544578   2.58801   8.43
301   0.00552266   2.62374   8.53992
302   0.00560084   2.65979   8.65096
303   0.00568034   2.69607   8.76304
304   0.00576121   2.73248   8.87608
305   0.0058435   2.76892   8.99
306   0.00592699   2.80401   9.10344
307   0.00601207   2.83919   9.21792
308   0.00609885   2.8747   9.33368
309   0.00618743   2.91074   9.45096
310   0.00627792   2.94756   9.57
311   0.00637181   2.98771   9.69456
312   0.00646745   3.02856   9.82048
313   0.00656462   3.06976   9.94712
314   0.00666308   3.11096   10.0738
315   0.0067626   3.1518   10.2
316   0.00686161   3.18949   10.3214
317   0.00696159   3.22664   10.4419
318   0.00706264   3.26347   10.5617
319   0.00716487   3.30025   10.681
320   0.0072684   3.3372   10.8
321   0.00737146   3.3753   10.9168
322   0.00747647   3.41396   11.0344
323   0.007584   3.45324   11.1536
324   0.00769465   3.49324   11.2752
325   0.007809   3.534   11.4
326   0.00793096   3.5761   11.5352
327   0.00805703   3.61891   11.6736
328   0.008187   3.66237   11.8144
329   0.00832069   3.70642   11.9568
330   0.0084579   3.751   12.1
331   0.00859738   3.79665   12.24
332   0.00874028   3.84265   12.38
333   0.0088867   3.88881   12.52
334   0.00903671   3.93493   12.66
335   0.0091904   3.9808   12.8
336   0.00934661   4.02496   12.94
337   0.00950696   4.06872   13.08
338   0.00967186   4.11216   13.22
339   0.00984172   4.15539   13.36
340   0.010017   4.1985   13.5
341   0.0101962   4.2408   13.6304
342   0.0103822   4.28344   13.7632
343   0.010576   4.32671   13.9008
344   0.0107785   4.37088   14.0456
345   0.0109908   4.4162   14.2
346   0.011223   4.46413   14.38
347   0.0114649   4.51322   14.571
348   0.0117153   4.56337   14.772
349   0.0119728   4.61446   14.982
350   0.012236   4.6664   15.2
351   0.0124916   4.7198   15.4196
352   0.0127486   4.77407   15.6448
353   0.0130069   4.82908   15.8752
354   0.0132659   4.88475   16.1104
355   0.0135255   4.94097   16.35
356   0.0137853   4.99765   16.5936
357   0.0140449   5.05469   16.8408
358   0.014304   5.11202   17.0912
359   0.0145622   5.16955   17.3444
360   0.0148192   5.2272   17.6
361   0.0150677   5.28282   17.8494
362   0.0153147   5.33858   18.1008
363   0.0155604   5.39454   18.3544
364   0.0158047   5.45076   18.6104
365   0.0160479   5.50732   18.8687
366   0.01629   5.56427   19.1296
367   0.0165312   5.62168   19.393
368   0.0167717   5.67962   19.6592
369   0.0170115   5.73817   19.9281
370   0.0172508   5.7974   20.2
371   0.0174951   5.85948   20.4798
372   0.0177389   5.92227   20.7624
373   0.0179822   5.98573   21.0476
374   0.0182247   6.04981   21.3352
375   0.0184664   6.11447   21.625
376   0.0187071   6.17966   21.9168
377   0.0189468   6.24534   22.2104
378   0.0191852   6.31147   22.5056
379   0.0194224   6.378   22.8022
380   0.0196581   6.4449   23.1
381   0.0198919   6.5112   23.3955
382   0.0201242   6.57785   23.692
383   0.020355   6.64485   23.9895
384   0.0205842   6.71223   24.288
385   0.0208118   6.78   24.5875
386   0.0210377   6.84818   24.888
387   0.021262   6.91678   25.1895
388   0.0214845   6.98583   25.492
389   0.0217051   7.05533   25.7955
390   0.021924   7.1253   26.1
391   0.0221391   7.19597   26.4047
392   0.0223523   7.26715   26.7104
393   0.0225638   7.33884   27.0172
394   0.0227736   7.41103   27.3252
395   0.0229819   7.48373   27.6344
396   0.0231886   7.55694   27.9448
397   0.0233939   7.63066   28.2565
398   0.0235979   7.70488   28.5696
399   0.0238007   7.77959   28.8841
400   0.0240024   7.8548   29.2
401   0.0242086   7.93011   29.52
402   0.0244144   8.00585   29.8418
403   0.0246197   8.08201   30.1653
404   0.0248245   8.1586   30.4904
405   0.0250287   8.2356   30.8172
406   0.0252323   8.31303   31.1456
407   0.0254353   8.39089   31.4756
408   0.0256376   8.46916   31.8072
409   0.0258392   8.54786   32.1403
410   0.0260401   8.62698   32.475
411   0.0262402   8.70653   32.8112
412   0.0264395   8.7865   33.1488
413   0.026638   8.8669   33.4879
414   0.0268357   8.94772   33.8284
415   0.0270325   9.02897   34.1703
416   0.0272283   9.11065   34.5136
417   0.0274232   9.19276   34.8582
418   0.0276171   9.27531   35.2042
419   0.0278101   9.35829   35.5515
420   0.028002   9.4417   35.9
421   0.0281915   9.52554   36.2481
422   0.0283799   9.60983   36.5975
423   0.0285672   9.69457   36.9481
424   0.0287535   9.77976   37.3
425   0.0289388   9.86541   37.6531
426   0.029123   9.95152   38.0075
427   0.0293061   10.0381   38.3631
428   0.0294882   10.1251   38.72
429   0.0296693   10.2126   39.0781
430   0.0298493   10.3006   39.4375
431   0.0300282   10.389   39.7981
432   0.0302061   10.4779   40.16
433   0.030383   10.5673   40.5231
434   0.0305588   10.6571   40.8875
435   0.0307336   10.7474   41.2531
436   0.0309073   10.8382   41.62
437   0.0310801   10.9294   41.9881
438   0.0312518   11.0211   42.3575
439   0.0314226   11.1133   42.7281
440   0.0315923   11.206   43.1
441   0.0317608   11.2989   43.4723
442   0.0319284   11.3923   43.8458
443   0.0320949   11.4862   44.2207
444   0.0322606   11.5805   44.5968
445   0.0324254   11.6754   44.9742
446   0.0325892   11.7707   45.3529
447   0.0327522   11.8665   45.733
448   0.0329142   11.9628   46.1144
449   0.0330755   12.0596   46.4971
450   0.0332359   12.1569   46.8813
451   0.0333955   12.2547   47.2667
452   0.0335542   12.353   47.6536
453   0.0337122   12.4517   48.0419
454   0.0338695   12.551   48.4316
455   0.034026   12.6508   48.8227
456   0.0341817   12.7511   49.2152
457   0.0343368   12.8518   49.6092
458   0.0344912   12.9531   50.0046
459   0.0346449   13.0549   50.4016
460   0.034798   13.1572   50.8
461   0.0349519   13.2594   51.2007
462   0.0351052   13.362   51.603
463   0.0352579   13.4652   52.0067
464   0.03541   13.5688   52.412
465   0.0355615   13.673   52.8187
466   0.0357124   13.7778   53.227
467   0.0358627   13.8831   53.6367
468   0.0360124   13.9889   54.048
469   0.0361615   14.0953   54.4607
470   0.0363101   14.2023   54.875
471   0.0364581   14.3099   55.2908
472   0.0366055   14.4181   55.708
473   0.0367524   14.5269   56.1268
474   0.0368986   14.6364   56.547
475   0.0370444   14.7464   56.9688
476   0.0371896   14.8572   57.392
477   0.0373342   14.9686   57.8167
478   0.0374783   15.0807   58.243
479   0.0376219   15.1934   58.6707
480   0.0377649   15.3069   59.1
481   0.0379084   15.4231   59.5308
